,From,To,Distance,Line
113,杨庄,西黄村,1792,6号线路网车站站间距信息
114,西黄村,廖公庄,1794,6号线路网车站站间距信息
115,廖公庄,田村,2276,6号线路网车站站间距信息
116,田村,海淀五路居,2140,6号线路网车站站间距信息
117,海淀五路居,慈寿寺,1508,6号线路网车站站间距信息
118,慈寿寺,花园桥,1431,6号线路网车站站间距信息
119,花园桥,白石桥南,1167,6号线路网车站站间距信息
120,白石桥南,车公庄西,1665,6号线路网车站站间距信息
121,车公庄西,车公庄,887,6号线路网车站站间距信息
122,车公庄,平安里,1444,6号线路网车站站间距信息
123,平安里,北海北,1322,6号线路网车站站间距信息
124,北海北,南锣鼓巷,1349,6号线路网车站站间距信息
125,南锣鼓巷,东四,1937,6号线路网车站站间距信息
126,东四,朝阳门,1400,6号线路网车站站间距信息
127,朝阳门,东大桥,1669,6号线路网车站站间距信息
128,东大桥,呼家楼,846,6号线路网车站站间距信息
129,呼家楼,金台路,1450,6号线路网车站站间距信息
130,金台路,十里堡,2037,6号线路网车站站间距信息
131,十里堡,青年路,1283,6号线路网车站站间距信息
132,青年路,褡裢坡,3999,6号线路网车站站间距信息
133,褡裢坡,黄渠,1239,6号线路网车站站间距信息
134,黄渠,常营,1854,6号线路网车站站间距信息
135,常营,草房,1407,6号线路网车站站间距信息
136,草房,物资学院路,2115,6号线路网车站站间距信息
137,物资学院路,通州北关,2557,6号线路网车站站间距信息
138,通州北关,北运河西,3143,6号线路网车站站间距信息
139,北运河西,北运河东,1600,6号线路网车站站间距信息
140,北运河东,郝家府,929,6号线路网车站站间距信息
141,郝家府,东夏园,1347,6号线路网车站站间距信息
142,东夏园,潞城,1194,6号线路网车站站间距信息
143,起始站名,目的站名,距离（米）,7号线路网车站站间距信息
144,北京西站,湾子,935,7号线路网车站站间距信息
145,湾子,达官营,734,7号线路网车站站间距信息
146,达官营,广安门内,1875,7号线路网车站站间距信息
147,广安门内,菜市口,1373,7号线路网车站站间距信息
148,菜市口,虎坊桥,886,7号线路网车站站间距信息
149,虎坊桥,珠市口,1205,7号线路网车站站间距信息
150,珠市口,桥湾,869,7号线路网车站站间距信息
151,桥湾,磁器口,1016,7号线路网车站站间距信息
152,磁器口,广渠门内,1138,7号线路网车站站间距信息
153,广渠门内,广渠门外,1332,7号线路网车站站间距信息
154,广渠门外,双井,1241,7号线路网车站站间距信息
155,双井,九龙山,1311,7号线路网车站站间距信息
156,九龙山,大郊亭,781,7号线路网车站站间距信息
157,大郊亭,百子湾,865,7号线路网车站站间距信息
158,百子湾,化工,903,7号线路网车站站间距信息
159,化工,南楼梓庄,1465,7号线路网车站站间距信息
160,南楼梓庄,欢乐谷景区,905,7号线路网车站站间距信息
161,欢乐谷景区,垡头,1679,7号线路网车站站间距信息
162,垡头,双合,1304,7号线路网车站站间距信息
163,双合,焦化厂,1021,7号线路网车站站间距信息
164,焦化厂,黄厂,1678,7号线路网车站站间距信息
165,黄厂,郎辛庄,1752,7号线路网车站站间距信息
166,郎辛庄,黑庄户,2517,7号线路网车站站间距信息
167,黑庄户,万盛西,2961,7号线路网车站站间距信息
168,万盛西,万盛东,2110,7号线路网车站站间距信息
169,万盛东,群芳,1160,7号线路网车站站间距信息
170,群芳,高楼金,1195,7号线路网车站站间距信息
171,高楼金,花庄,1425,7号线路网车站站间距信息
172,花庄,环球度假区,1769,7号线路网车站站间距信息
173,起始站名,目的站名,距离（米）,8号线路网车站站间距信息
174,育知路,朱辛庄,2319,8号线路网车站站间距信息
175,平西府,育知路,1986,8号线路网车站站间距信息
176,回龙观东大街,平西府,2017,8号线路网车站站间距信息
177,霍营,回龙观东大街,1115,8号线路网车站站间距信息
178,育新,霍营,1895,8号线路网车站站间距信息
179,西小口,育新,1543,8号线路网车站站间距信息
180,永泰庄,西小口,1042,8号线路网车站站间距信息
181,林萃桥,永泰庄,2553,8号线路网车站站间距信息
182,森林公园南门,林萃桥,2558,8号线路网车站站间距信息
183,奥林匹克公园,森林公园南门,1017,8号线路网车站站间距信息
184,奥体中心,奥林匹克公园,1667,8号线路网车站站间距信息
185,北土城,奥体中心,900,8号线路网车站站间距信息
186,安华桥,北土城,1009,8号线路网车站站间距信息
187,安德里北街,安华桥,1275,8号线路网车站站间距信息
188,鼓楼大街,安德里北街,1084,8号线路网车站站间距信息
189,什刹海,鼓楼大街,1188,8号线路网车站站间距信息
190,南锣鼓巷,什刹海,902,8号线路网车站站间距信息
191,中国美术馆,南锣鼓巷,1437,8号线路网车站站间距信息
192,金鱼胡同,中国美术馆,873,8号线路网车站站间距信息
193,王府井,金鱼胡同,762,8号线路网车站站间距信息
194,前门,王府井,1857,8号线路网车站站间距信息
195,珠市口,前门,1085,8号线路网车站站间距信息
196,天桥,珠市口,881,8号线路网车站站间距信息
197,永定门外,天桥,1800,8号线路网车站站间距信息
198,木樨园,永定门外,741,8号线路网车站站间距信息
199,海户屯,木樨园,845,8号线路网车站站间距信息
200,大红门南,海户屯,1678,8号线路网车站站间距信息
201,和义,大红门南,2446,8号线路网车站站间距信息
202,东高地,和义,1537,8号线路网车站站间距信息
203,火箭万源,东高地,1215,8号线路网车站站间距信息
204,五福堂,火箭万源,1684,8号线路网车站站间距信息
205,德茂,五福堂,2076,8号线路网车站站间距信息
206,瀛海,德茂,1510,8号线路网车站站间距信息
207,起始站名,目的站名,距离（米）,9号线路网车站站间距信息
208,白石桥南,国家图书馆,1096,9号线路网车站站间距信息
209,白堆子,白石桥南,1044,9号线路网车站站间距信息
210,军事博物馆,白堆子,1912,9号线路网车站站间距信息
211,北京西站,军事博物馆,1398,9号线路网车站站间距信息
212,六里桥东,北京西站,1171,9号线路网车站站间距信息
213,六里桥,六里桥东,1309,9号线路网车站站间距信息
214,七里庄,六里桥,1779,9号线路网车站站间距信息
215,丰台东大街,七里庄,1326,9号线路网车站站间距信息
216,丰台南路,丰台东大街,1585,9号线路网车站站间距信息
217,科怡路,丰台南路,980,9号线路网车站站间距信息
218,丰台科技园,科怡路,788,9号线路网车站站间距信息
219,郭公庄,丰台科技园,1348,9号线路网车站站间距信息
220,起始站名,目的站名,距离（米）,10号线路网车站站间距信息
221,巴沟,火器营,1441,10号线路网车站站间距信息
222,海淀黄庄,苏州街,950,10号线路网车站站间距信息
223,知春里,海淀黄庄,976,10号线路网车站站间距信息
224,知春路,知春里,1058,10号线路网车站站间距信息
225,西土城,知春路,1102,10号线路网车站站间距信息
226,牡丹园,西土城,1330,10号线路网车站站间距信息
227,健德门,牡丹园,967,10号线路网车站站间距信息
228,北土城,健德门,1100,10号线路网车站站间距信息
229,安贞门,北土城,1020,10号线路网车站站间距信息
230,惠新西街南口,安贞门,982,10号线路网车站站间距信息
231,芍药居,惠新西街南口,1713,10号线路网车站站间距信息
