,From,To,Distance,Line
197,永定门外,天桥,1800,8号线
198,木樨园,永定门外,741,8号线
199,海户屯,木樨园,845,8号线
200,大红门南,海户屯,1678,8号线
201,和义,大红门南,2446,8号线
202,东高地,和义,1537,8号线
203,火箭万源,东高地,1215,8号线
204,五福堂,火箭万源,1684,8号线
205,德茂,五福堂,2076,8号线
206,瀛海,德茂,1510,8号线
208,白石桥南,国家图书馆,1096,9号线
209,白堆子,白石桥南,1044,9号线
210,军事博物馆,白堆子,1912,9号线
211,北京西站,军事博物馆,1398,9号线
212,六里桥东,北京西站,1171,9号线
213,六里桥,六里桥东,1309,9号线
214,七里庄,六里桥,1779,9号线
215,丰台东大街,七里庄,1326,9号线
216,丰台南路,丰台东大街,1585,9号线
217,科怡路,丰台南路,980,9号线
218,丰台科技园,科怡路,788,9号线
219,郭公庄,丰台科技园,1348,9号线
221,巴沟,火器营,1441,10号线
222,海淀黄庄,苏州街,950,10号线
223,知春里,海淀黄庄,976,10号线
224,知春路,知春里,1058,10号线
225,西土城,知春路,1102,10号线
226,牡丹园,西土城,1330,10号线
227,健德门,牡丹园,967,10号线
228,北土城,健德门,1100,10号线
229,安贞门,北土城,1020,10号线
230,惠新西街南口,安贞门,982,10号线
231,芍药居,惠新西街南口,1713,10号线
232,太阳宫,芍药居,1003,10号线
233,三元桥,太阳宫,1759,10号线
234,亮马桥,三元桥,1535,10号线
235,农业展览馆,亮马桥,914,10号线
236,团结湖,农业展览馆,853,10号线
237,呼家楼,团结湖,1150,10号线
238,金台夕照,呼家楼,734,10号线
239,国贸,金台夕照,835,10号线
240,双井,国贸,1760,10号线
241,劲松,双井,1033,10号线
242,潘家园,劲松,1021,10号线
243,十里河,潘家园,1073,10号线
244,分钟寺,十里河,1803,10号线
245,成寿寺,分钟寺,1060,10号线
246,宋家庄,成寿寺,1675,10号线
247,石榴庄,宋家庄,1273,10号线
248,大红门,石榴庄,1244,10号线
249,角门东,大红门,1124,10号线
250,角门西,角门东,1259,10号线
251,草桥,角门西,1688,10号线
252,纪家庙,草桥,1550,10号线
253,首经贸,纪家庙,1119,10号线
254,丰台站,首经贸,1717,10号线
255,泥洼,丰台站,954,10号线
256,西局,泥洼,749,10号线
257,六里桥,西局,1587,10号线
258,莲花桥,六里桥,2365,10号线
259,公主坟,莲花桥,1041,10号线
260,西钓鱼台,公主坟,2386,10号线
261,慈寿寺,西钓鱼台,1215,10号线
262,车道沟,慈寿寺,1591,10号线
263,长春桥,车道沟,1206,10号线
264,火器营,长春桥,778,10号线
266,金安桥,北辛安,689,11号线
267,北辛安,新首钢,850,11号线
269,大钟寺,西直门,2839,13号线
270,知春路,大钟寺,1206,13号线
271,五道口,知春路,1829,13号线
272,上地,五道口,4966,13号线
273,清河站,上地,1036,13号线
274,西二旗,清河站,2364,13号线
275,龙泽,西二旗,3797,13号线
276,回龙观,龙泽,1423,13号线
277,霍营,回龙观,2110,13号线
278,立水桥,霍营,4786,13号线
279,北苑,立水桥,2272,13号线
280,望京西,北苑,6720,13号线
281,芍药居,望京西,2152,13号线
282,光熙门,芍药居,1110,13号线
283,柳芳,光熙门,1135,13号线
284,东直门,柳芳,1769,13号线
286,张郭庄,园博园,1345,14号线
288,园博园,大瓦窑,4073,14号线
290,大瓦窑,郭庄子,1236,14号线
292,郭庄子,大井,2044,14号线
294,大井,七里庄,1579,14号线
296,七里庄,西局,845,14号线
298,北京南站,陶然桥,887,14号线
300,陶然桥,永定门外,1063,14号线
302,永定门外,景泰,1119,14号线
304,景泰,蒲黄榆,1025,14号线
306,蒲黄榆,方庄,1486,14号线
308,方庄,十里河,1618,14号线
310,十里河,南八里庄,1147,14号线
312,南八里庄,北工大西门,1276,14号线
314,北工大西门,平乐园,1128,14号线
316,平乐园,九龙山,897,14号线
318,九龙山,大望路,1780,14号线
320,大望路,红庙,708,14号线
322,红庙,金台路,894,14号线
324,金台路,朝阳公园,1085,14号线
326,朝阳公园,枣营,1221,14号线
328,枣营,东风北桥,2173,14号线
330,东风北桥,将台,1600,14号线
332,将台,高家园,1171,14号线
334,高家园,望京南,676,14号线
336,望京南,阜通,1168,14号线
338,阜通,望京,903,14号线
340,望京,东湖渠,1283,14号线
342,东湖渠,来广营,1100,14号线
344,来广营,善各庄,1364,14号线
347,清华东路西口,六道口,1145,15号线
348,六道口,北沙滩,1337,15号线
349,北沙滩,奥林匹克公园,1999,15号线
350,奥林匹克公园,安立路,1369,15号线
351,安立路,大屯路东,938,15号线
352,大屯路东,关庄,1087,15号线
353,关庄,望京西,2039,15号线
354,望京西,望京,1759,15号线
355,望京,望京东,1652,15号线
356,望京东,崔各庄,2295,15号线
357,崔各庄,马泉营,2009,15号线
358,马泉营,孙河,3309,15号线
359,孙河,国展,3387,15号线
360,国展,花梨坎,1616,15号线
361,花梨坎,后沙峪,3354,15号线
362,后沙峪,南法信,4567,15号线
363,南法信,石门,2712,15号线
364,石门,顺义,1332,15号线
365,顺义,俸伯,2441,15号线
367,北安河,温阳路,2653,16号线
369,温阳路,稻香湖路,2310,16号线
371,稻香湖路,屯佃,2352,16号线
373,屯佃,永丰,1961,16号线
375,永丰,永丰南,1315,16号线
377,永丰南,西北旺,2108,16号线
379,西北旺,马连洼,2196,16号线
381,马连洼,农大南路,1517,16号线
383,农大南路,西苑,2690,16号线
385,西苑,万泉河桥,1980,16号线
387,万泉河桥,苏州街,1486,16号线
389,苏州街,苏州桥,1497,16号线
391,苏州桥,万寿寺,1610,16号线
393,万寿寺,国家图书馆,1721,16号线
395,国家图书馆,甘家口,2635,16号线
397,甘家口,玉渊潭东门,970,16号线
400,草桥,大兴新城,13028,大兴机场线
402,大兴新城,大兴机场,25303,大兴机场线
405,香山,植物园,983,西郊线
407,植物园,万安,1733,西郊线
409,万安,茶棚,1550,西郊线
411,茶棚,颐和园西门,1505,西郊线
413,颐和园西门,巴沟,2922,西郊线
416,石厂,小园,1297,S1线
417,小园,栗园庄,1266,S1线
418,栗园庄,上岸,1044,S1线
419,上岸,桥户营,1065,S1线
420,桥户营,四道桥,834,S1线
421,四道桥,金安桥,2736,S1线
422,金安桥,苹果园,1419,S1线
424,燕山,房山城关,2076,燕房线
426,房山城关,饶乐府,1777,燕房线
428,饶乐府,马各庄,984,燕房线
430,马各庄,大石河东,2087,燕房线
432,大石河东,星城,1929,燕房线
434,星城,阎村,1649,燕房线
436,阎村,紫草坞,1210,燕房线
438,紫草坞,阎村东,1541,燕房线
441,公益西桥,新宫,2798,大兴线
443,新宫,西红门,5102,大兴线
445,西红门,高米店北,1810,大兴线
447,高米店北,高米店南,1128,大兴线
449,高米店南,枣园,1096,大兴线
451,枣园,清源路,1200,大兴线
453,清源路,黄村西大街,1214,大兴线
455,黄村西大街,黄村火车站,987,大兴线
457,黄村火车站,义和庄,2035,大兴线
459,义和庄,生物医药基地,2918,大兴线
461,生物医药基地,天宫院,1811,大兴线
464,十三陵景区,昌平西山口,1213,昌平线
465,昌平,十三陵景区,3509,昌平线
466,昌平东关,昌平,2433,昌平线
467,北邵洼,昌平东关,1683,昌平线
468,南邵,北邵洼,1959,昌平线
469,沙河高教园,南邵,5357,昌平线
470,沙河,沙河高教园,1965,昌平线
471,巩华城,沙河,2026,昌平线
472,朱辛庄,巩华城,3799,昌平线
473,生命科学园,朱辛庄,2368,昌平线
474,西二旗,生命科学园,5440,昌平线
475,清河站,西二旗,1546,昌平线
477,首经贸,东管头南,1137,房山线
478,花乡东桥,首经贸,1793,房山线
479,白盆窑,花乡东桥,1668,房山线
480,郭公庄,白盆窑,1138,房山线
481,大葆台,郭公庄,1405,房山线
482,稻田,大葆台,6466,房山线
483,长阳,稻田,4042,房山线
484,篱笆房,长阳,2150,房山线
485,广阳城,篱笆房,1474,房山线
486,良乡大学城北,广阳城,2003,房山线
487,良乡大学城,良乡大学城北,1188,房山线
488,良乡大学城西,良乡大学城,1739,房山线
489,良乡南关,良乡大学城西,1333,房山线
490,苏庄,良乡南关,1331,房山线
491,阎村东,苏庄,2200,房山线
493,肖村,宋家庄,2631,亦庄线
494,小红门,肖村,1275,亦庄线
495,旧宫,小红门,2366,亦庄线
496,亦庄桥,旧宫,1982,亦庄线
497,亦庄文化园,亦庄桥,993,亦庄线
498,万源街,亦庄文化园,1538,亦庄线
499,荣京东街,万源街,1280,亦庄线
500,荣昌东街,荣京东街,1354,亦庄线
501,同济南路,荣昌东街,2338,亦庄线
502,经海路,同济南路,2265,亦庄线
503,次渠南,经海路,2086,亦庄线
504,次渠,次渠南,1281,亦庄线
505,亦庄火车站,次渠,1334,亦庄线
507,四惠,四惠东,1715,八通线
508,四惠东,高碑店,1375,八通线
509,高碑店,传媒大学,2002,八通线
510,传媒大学,双桥,1894,八通线
511,双桥,管庄,1912,八通线
512,管庄,八里桥,1763,八通线
513,八里桥,通州北苑,1700,八通线
514,通州北苑,果园,1465,八通线
515,果园,九棵树,990,八通线
516,九棵树,梨园,1225,八通线
517,梨园,临河里,1257,八通线
518,临河里,土桥,776,八通线
519,土桥,花庄,2238,八通线
520,花庄,环球度假区,1863,八通线
522,东直门,北新桥,1622,首都机场线
523,三元桥,东直门,3022,首都机场线
524,2号航站楼,3号航站楼,20738,首都机场线
525,3号航站楼,三元桥,18322,首都机场线
